Date,Open,High,Low,Close,Adj Close,Volume
9/24/2019,59.669998,59.77,58.720001,58.91,58.50679,987800
9/25/2019,60.400002,60.740002,59.869999,60.580002,60.165363,1522500
9/26/2019,59.91,60.080002,59.23,59.41,59.003368,825500
9/27/2019,58.830002,59.389999,58.650002,58.77,58.548908,1501700
9/30/2019,58.490002,59.18,58.099998,59.130001,58.907555,666700
10/1/2019,58.5,58.959999,57.650002,57.959999,57.741955,988400
10/2/2019,57.25,57.25,56.509998,56.830002,56.616207,1005200
10/3/2019,57.349998,58,57,57.93,57.712067,823800
10/4/2019,57.889999,58.860001,57.889999,58.75,58.52898,631900
10/7/2019,58.099998,58.400002,58.07,58.07,57.85154,661400
10/8/2019,57.549999,57.610001,57.029999,57.209999,56.994774,630500
10/9/2019,57.779999,58.099998,57.689999,57.869999,57.65229,323500
10/10/2019,57.139999,57.560001,57.07,57.330002,57.114326,721300
10/11/2019,58,58.91,58,58.139999,57.921276,1378000
10/14/2019,58.139999,58.380001,57.82,57.84,57.622406,461400
10/15/2019,58.189999,58.68,58.150002,58.5,58.279922,943000
10/16/2019,58.5,59.040001,58.490002,58.919998,58.698341,747600
10/17/2019,60.029999,60.25,59.759998,60.040001,59.814129,759600
10/18/2019,59.799999,59.869999,58.599998,59.209999,58.987251,1079000
10/21/2019,59.439999,59.580002,59.110001,59.18,58.957363,564300
10/22/2019,59.48,59.580002,58.939999,58.970001,58.748158,649700
10/23/2019,58.77,58.810001,58.240002,58.580002,58.359623,589100
10/24/2019,59.150002,59.150002,58.349998,58.630001,58.409435,727500
10/25/2019,58.23,58.619999,58.029999,58.509998,58.289883,683700
10/28/2019,58.849998,59.279999,58.689999,59.060001,58.837818,874900
10/29/2019,58.860001,59.34,58.830002,59.240002,59.017139,1496400
10/30/2019,60.200001,61.77,59.860001,61.07,60.840256,1265100
10/31/2019,61.080002,61.09,60.41,60.830002,60.601158,661800
11/1/2019,61.27,61.619999,61.119999,61.439999,61.208862,613700
11/4/2019,61.799999,61.849998,61.34,61.57,61.338371,606200
11/5/2019,61.560001,61.57,61.029999,61.439999,61.208862,663600
11/6/2019,61.040001,61.200001,60.68,60.73,60.501534,456600
11/7/2019,60.41,60.720001,60.220001,60.400002,60.172775,649500
11/8/2019,60.25,60.57,60.150002,60.41,60.182735,941800
11/11/2019,61.400002,61.880001,61,61.720001,61.487812,1398700
11/12/2019,62,62.5,61.91,62.130001,61.896267,1068100
11/13/2019,62.580002,62.580002,62.23,62.290001,62.055664,1089300
11/14/2019,62.009998,62.099998,61.34,61.849998,61.617317,424100
11/15/2019,62,62.200001,61.720001,62.060001,61.82653,325200
11/18/2019,63.009998,63.009998,62.330002,62.439999,62.205097,827100
11/19/2019,62.240002,62.32,61.75,61.900002,61.667133,1512500
11/20/2019,61.720001,61.880001,61.25,61.48,61.248711,852500
11/21/2019,61.099998,61.639999,60.959999,61.52,61.288563,1149700
11/22/2019,61.639999,61.700001,61.169998,61.200001,60.969765,607200
11/25/2019,61.709999,61.950001,61.580002,61.799999,61.567509,879400
11/26/2019,63,63.200001,62.619999,63.150002,62.91243,2221700
11/27/2019,63.279999,63.75,63.200001,63.720001,63.480286,1565400
11/29/2019,63.259998,63.599998,63.220001,63.48,63.241188,952800
12/2/2019,63.459999,63.560001,62.689999,63.279999,63.041939,1515400
12/3/2019,64.400002,64.629997,63.91,64.589996,64.347008,1648100
12/4/2019,65.269997,65.559998,65.080002,65.290001,65.04438,1123800
12/5/2019,65.160004,65.290001,64.800003,65.199997,64.954712,1156400
12/6/2019,65.339996,65.470001,65.150002,65.290001,65.04438,999800
12/9/2019,65.610001,66.300003,65.610001,65.93,65.681969,1323200
12/10/2019,66.57,66.699997,66.040001,66.309998,66.060539,872900
12/11/2019,66.480003,66.550003,66.199997,66.540001,66.28968,1375100
12/12/2019,66.919998,67.389999,66.830002,67.32,67.066742,1152300
12/13/2019,67.400002,67.790001,67.199997,67.57,67.315804,1019200
12/16/2019,68.199997,68.470001,68,68.25,67.99324,1109400
12/17/2019,68.040001,68.089996,67.690002,67.739998,67.485161,747600
12/18/2019,67.830002,67.910004,67.400002,67.699997,67.445313,557700
12/19/2019,68.059998,68.209999,67.82,67.879997,67.624634,667600
12/20/2019,67.239998,67.910004,66.919998,67.900002,67.644562,1594400
12/23/2019,67.809998,68.169998,67.599998,68.080002,67.823883,601400
12/24/2019,67.980003,68,67.760002,67.760002,67.505089,264500
12/26/2019,68,68.029999,67.849998,68.019997,67.764107,518000
12/27/2019,68.029999,68.099998,67.730003,67.779999,67.525009,351100
12/30/2019,67.779999,67.790001,67.25,67.720001,67.46524,993900
12/31/2019,67.720001,68.029999,67.510002,68,67.744186,549700
1/2/2020,68.300003,69.059998,68.279999,69.059998,68.800194,856500
1/3/2020,68.5,68.650002,67.959999,68.080002,67.823883,518600
1/6/2020,68.25,69.199997,68.220001,69.110001,68.850006,755500
1/7/2020,70.510002,70.580002,69.809998,70.199997,69.935905,1316200
1/8/2020,70.800003,71.120003,70.370003,70.459999,70.194931,1640200
1/9/2020,71.400002,71.660004,70.589996,71.029999,70.762787,2377300
1/10/2020,71.459999,71.459999,70.739998,70.860001,70.593422,1120500
1/13/2020,71.389999,71.699997,71.080002,71.639999,71.370491,1272300
1/14/2020,72.940002,72.949997,72.010002,72.470001,72.197365,1940800
1/15/2020,71.599998,72.120003,71.449997,71.599998,71.330635,1085900
1/16/2020,72.230003,72.720001,72.199997,72.620003,72.346809,1158900
1/17/2020,72.720001,72.720001,72.160004,72.480003,72.207336,780500
1/21/2020,72.5,72.5,72.110001,72.129997,71.858643,967200
1/22/2020,72.57,72.68,72.169998,72.379997,72.107704,760800
1/23/2020,72.75,72.75,72.019997,72.589996,72.31691,579700
1/24/2020,72.639999,72.68,71.480003,71.879997,71.609581,678300
1/27/2020,71.440002,71.699997,71.150002,71.309998,71.041725,1267300
1/28/2020,71.699997,72.209999,71.349998,72.019997,71.749054,812600
1/29/2020,71.900002,72.019997,71.650002,71.800003,71.529892,613000
1/30/2020,70.629997,71.309998,70.209999,71.139999,70.872368,870900
